screener,workerId,m_initial,m_final,diff,effect_size,scenario,training_mistakes,wtp,wtp_revised,superiority_special,superiority_special_revised,superiority_standard,superiority_standard_radio,superiority_standard_revised,superiority_nyc,superiority_nyc_radio,superiority_nyc_revised,superiority_height,superiority_height_radio,superiority_height_revised,ts_consent_start,ts_instruction_start,ts_initial_start,ts_final_start,ts_pq_boulder_start,ts_pq_weather_start,ts_pq_height_start,ts_submitted_
I was considering the prize money that I would get if I won. And I was considering the feeling of winning.,e3f6fe7989abf9aae2f592d5f47cb9aa,3,4,0,0,0,"51,50",50,25,100,57,43,yes,NA,50,yes,NA,50,yes,NA,9/6/19 14:32,9/6/19 14:32,9/6/19 14:38,9/6/19 14:40,9/6/19 14:41,9/6/19 14:41,9/6/19 14:42,9/6/19 14:42
I was considering the prize money that I would get if I won.,3afe6a6b8c900c28176d6958bf22b5ec,3,10,0,0,0,50,50,10,97,58,49,yes,NA,58,no,48,72,yes,NA,9/6/19 14:39,9/6/19 14:39,9/6/19 14:40,9/6/19 14:41,9/6/19 14:42,9/6/19 14:42,9/6/19 14:42,9/6/19 14:43
I was considering the prize money that I would get if I won.,f7d70916fe72573afa25151ec99edb73,3,7,0,0,0,50,50,50,55,57,50,yes,NA,25,yes,NA,70,yes,NA,9/6/19 15:37,9/6/19 15:38,9/6/19 15:39,9/6/19 15:41,9/6/19 15:41,9/6/19 15:42,9/6/19 15:42,9/6/19 15:43
I was considering the prize money that I would get if I won.,4232f34afb09787ea3f5fd3de36323d5,3,10,0,0,0,50,200,125,95,57,50,yes,NA,25,yes,NA,55,yes,NA,9/6/19 13:32,9/6/19 13:33,9/6/19 13:35,9/6/19 13:39,9/6/19 13:41,9/6/19 13:41,9/6/19 13:42,9/6/19 13:44
I was considering the prize money that I would get if I won.,707f96a97250359463aa0f09f667cf22,3,4,0,0,0,"40,50",50,50,80,60,50,yes,NA,25,yes,NA,40,yes,NA,9/6/19 15:34,9/6/19 15:35,9/6/19 15:37,9/6/19 15:41,9/6/19 15:42,9/6/19 15:43,9/6/19 15:43,9/6/19 15:43
I was considering the prize money that I would get if I won. And I was considering the feeling of winning.,915050bf2ef94c7305c44523ecaab7e7,3,7,0,0,0,"5,5,5,100,100,100,100,100,100,50",50,50,45,50,50,yes,NA,48,yes,NA,70,yes,NA,9/6/19 15:42,9/6/19 15:42,9/6/19 15:43,9/6/19 15:43,9/6/19 15:43,9/6/19 15:43,9/6/19 15:44,9/6/19 15:44
I was considering the prize money that I would get if I won.,f9013d9e165d3103f7a07f16b88f798a,3,10,0,0,0,50,100,50,100,57,50,yes,NA,60,yes,NA,65,yes,NA,9/6/19 12:36,9/6/19 12:36,9/6/19 12:39,9/6/19 12:41,9/6/19 12:42,9/6/19 12:43,9/6/19 12:44,9/6/19 12:44
I was considering the prize money that I would get if I won.,b7e930b2c648ae478832121e526df323,3,4,0,0,0,50,50,50,95,57,50,yes,NA,50,yes,NA,50,yes,NA,9/6/19 12:39,9/6/19 12:40,9/6/19 12:41,9/6/19 12:43,9/6/19 12:44,9/6/19 12:44,9/6/19 12:45,9/6/19 12:45
I was considering the prize money that I would get if I won. And I was considering the feeling of winning.,a3f1aa3f86bb313ed3040884b253a527,3,4,0,0,0,50,200,50,95,57,50,yes,NA,57,yes,NA,60,yes,NA,9/6/19 12:40,9/6/19 12:40,9/6/19 12:41,9/6/19 12:43,9/6/19 12:44,9/6/19 12:44,9/6/19 12:44,9/6/19 12:45
I was considering the prize money that I would get if I won.,e24c64c1845e686760e76a8ddade5099,3,4,0,0,0,"60,60,50",75,50,55,57,50,yes,NA,50,yes,NA,80,yes,NA,9/6/19 14:35,9/6/19 14:36,9/6/19 14:38,9/6/19 14:41,9/6/19 14:42,9/6/19 14:43,9/6/19 14:43,9/6/19 14:45
I was considering the prize money that I would get if I won. And I was considering the feeling of winning.,41f9051c03d74e4b3477b8e90722df03,3,9,0,0,0,50,150,50,100,57,50,yes,NA,85,yes,NA,70,yes,NA,9/6/19 15:37,9/6/19 15:37,9/6/19 15:39,9/6/19 15:41,9/6/19 15:42,9/6/19 15:43,9/6/19 15:44,9/6/19 15:45
I was considering the prize money that I would get if I won.,e72839e4961086cc169122c8cd31e940,3,4,0,0,0,50,50,10,75,57,50,yes,NA,80,yes,NA,90,yes,NA,9/6/19 15:42,9/6/19 15:42,9/6/19 15:43,9/6/19 15:44,9/6/19 15:44,9/6/19 15:45,9/6/19 15:45,9/6/19 15:45
I was considering the prize money that I would get if I won.,d5e6dfa3dbc913323f6fbf87a6ed472c,3,9,0,0,0,50,100,75,85,57,50,yes,NA,65,yes,NA,35,no,60,9/6/19 15:40,9/6/19 15:40,9/6/19 15:41,9/6/19 15:42,9/6/19 15:43,9/6/19 15:44,9/6/19 15:44,9/6/19 15:45
I was considering the prize money that I would get if I won.,42ab86757a1210ee5bb360e735df1f52,3,9,0,0,0,50,150,150,100,57,50,yes,NA,48,yes,NA,40,yes,NA,9/6/19 15:38,9/6/19 15:39,9/6/19 15:41,9/6/19 15:43,9/6/19 15:44,9/6/19 15:45,9/6/19 15:46,9/6/19 15:46
I was considering the prize money that I would get if I won. And I was considering the feeling of winning.,cc5541db6a2d65ff8c87e1772a5f5a16,3,10,0,0,0,"30,50",50,50,100,57,50,yes,NA,50,yes,NA,50,yes,NA,9/6/19 14:39,9/6/19 14:39,9/6/19 14:41,9/6/19 14:45,9/6/19 14:45,9/6/19 14:46,9/6/19 14:46,9/6/19 14:47
I was considering the prize money that I would get if I won. And I was considering the feeling of winning.,d6d6f0d3f9fb28a6b4c18665e6984a36,3,10,0,0,0,50,100,25,95,60,50,yes,NA,70,yes,NA,55,yes,NA,9/6/19 15:41,9/6/19 15:41,9/6/19 15:44,9/6/19 15:45,9/6/19 15:46,9/6/19 15:46,9/6/19 15:47,9/6/19 15:47
I was considering the prize money that I would get if I won.,b4a1c1fb05d7c53c8f9323585ef62209,3,9,0,0,0,50,150,20,95,57,50,yes,NA,65,yes,NA,60,yes,NA,9/6/19 15:44,9/6/19 15:44,9/6/19 15:45,9/6/19 15:46,9/6/19 15:46,9/6/19 15:47,9/6/19 15:47,9/6/19 15:47
I was considering the feeling of winning.,677faf89d43cb8f4c64228ff12e8ce39,3,7,0,0,0,"2,2,2,2,23,50",125,62,50,25,50,yes,NA,50,yes,NA,50,yes,NA,9/6/19 15:42,9/6/19 15:42,9/6/19 15:45,9/6/19 15:46,9/6/19 15:46,9/6/19 15:47,9/6/19 15:47,9/6/19 15:47
I was considering the prize money that I would get if I won. And I was considering the feeling of winning.,f485860712bc06e4b28ea6e6413cb969,3,4,0,0,0,50,125,125,50,50,50,yes,NA,50,yes,NA,50,yes,NA,9/6/19 15:41,9/6/19 15:41,9/6/19 15:44,9/6/19 15:45,9/6/19 15:46,9/6/19 15:46,9/6/19 15:47,9/6/19 15:47
I was considering the prize money that I would get if I won.,6d51a17e3d47a9a76d74bb45b36036b6,3,9,0,0,0,50,50,5,75,57,50,yes,NA,85,yes,NA,50,yes,NA,9/6/19 12:39,9/6/19 12:40,9/6/19 12:42,9/6/19 12:45,9/6/19 12:46,9/6/19 12:47,9/6/19 12:47,9/6/19 12:47
I was considering the prize money that I would get if I won. And I was considering the feeling of winning.,9820476f58fd243566d5ff169c1b48f4,3,4,0,0,0,"70,50",70,50,95,63,50,yes,NA,50,yes,NA,50,yes,NA,9/6/19 15:41,9/6/19 15:41,9/6/19 15:43,9/6/19 15:45,9/6/19 15:46,9/6/19 15:47,9/6/19 15:47,9/6/19 15:48
I was considering the prize money that I would get if I won.,8bb70f111e81664292fca1a60f8adddc,3,9,0,0,0,50,40,5,99,57,50,yes,NA,45,no,55,50,yes,NA,9/6/19 15:43,9/6/19 15:43,9/6/19 15:44,9/6/19 15:45,9/6/19 15:46,9/6/19 15:46,9/6/19 15:47,9/6/19 15:48
I was considering the prize money that I would get if I won.,206de7865804fdf6f05e09121eddfb5d,3,7,0,0,0,50,125,50,100,57,50,yes,NA,10,yes,NA,75,yes,NA,9/6/19 15:41,9/6/19 15:41,9/6/19 15:43,9/6/19 15:45,9/6/19 15:46,9/6/19 15:46,9/6/19 15:47,9/6/19 15:48
I was considering the prize money that I would get if I won.,51e54aba4cdde08c4dca211326cf7cac,3,10,0,0,0,"49,50",25,2,95,57,50,yes,NA,33,yes,NA,70,yes,NA,9/6/19 15:38,9/6/19 15:39,9/6/19 15:42,9/6/19 15:44,9/6/19 15:45,9/6/19 15:46,9/6/19 15:47,9/6/19 15:48
I was considering the prize money that I would get if I won.,cc8f55d03fe597140a6c4d94984f7d7b,3,4,0,0,0,50,50,20,90,57,50,yes,NA,57,yes,NA,51,yes,NA,9/6/19 15:44,9/6/19 15:44,9/6/19 15:45,9/6/19 15:46,9/6/19 15:48,9/6/19 15:48,9/6/19 15:48,9/6/19 15:49
I was considering the prize money that I would get if I won.,3da720daa1f77e324bc51c6a1b959a0e,3,4,0,0,0,50,50,10,80,60,50,yes,NA,60,yes,NA,50,yes,NA,9/6/19 12:42,9/6/19 12:42,9/6/19 12:44,9/6/19 12:46,9/6/19 12:48,9/6/19 12:48,9/6/19 12:48,9/6/19 12:49
I was considering the prize money that I would get if I won. And I was considering the feeling of winning.,a18a2858f97869eafedf3605b8f04738,3,9,0,0,0,50,150,0,100,57,50,yes,NA,75,yes,NA,70,yes,NA,9/6/19 13:41,9/6/19 13:42,9/6/19 13:43,9/6/19 13:46,9/6/19 13:47,9/6/19 13:48,9/6/19 13:48,9/6/19 13:49
I was considering the prize money that I would get if I won.,980b3645d78dd67168a267c4019f2686,3,9,0,0,0,"60,60,50",100,100,50,57,57,yes,NA,34,yes,NA,75,yes,NA,9/6/19 15:38,9/6/19 15:38,9/6/19 15:41,9/6/19 15:45,9/6/19 15:48,9/6/19 15:48,9/6/19 15:49,9/6/19 15:50
I was considering the prize money that I would get if I won.,ca5bc9fc83247aecceabeaf5c8cf7500,3,4,0,0,0,"51,50",50,15,95,57,50,yes,NA,65,yes,NA,35,yes,NA,9/6/19 14:41,9/6/19 14:41,9/6/19 14:46,9/6/19 14:46,9/6/19 14:48,9/6/19 14:48,9/6/19 14:48,9/6/19 14:49
I was considering the feeling of winning.,a6aa4664b6c4a16257a9e1126592196b,3,10,0,0,0,50,20,0,100,57,50,yes,NA,35,no,65,50,yes,NA,9/6/19 15:40,9/6/19 15:40,9/6/19 15:42,9/6/19 15:43,9/6/19 15:43,9/6/19 15:43,9/6/19 15:44,9/6/19 15:44
I was considering the prize money that I would get if I won.,b6c734104edceee6ce8f8bd97df6b510,3,9,0,0,0,50,50,50,70,60,57,yes,NA,70,yes,NA,75,yes,NA,9/6/19 15:41,9/6/19 15:42,9/6/19 15:44,9/6/19 15:48,9/6/19 15:48,9/6/19 15:49,9/6/19 15:49,9/6/19 15:49
I was considering the feeling of winning.,577587774b234d9ac57cebd58670cf34,3,7,0,0,0,50,100,75,100,60,50,yes,NA,60,yes,NA,40,yes,NA,9/6/19 15:28,9/6/19 15:47,9/6/19 15:48,9/6/19 15:48,9/6/19 15:49,9/6/19 15:49,9/6/19 15:49,9/6/19 15:49
I was considering the prize money that I would get if I won.,98eb99811e3127631c3f0a94feae0f2b,3,10,0,0,0,50,125,17,90,57,50,yes,NA,25,yes,NA,60,yes,NA,9/6/19 15:38,9/6/19 15:39,9/6/19 15:42,9/6/19 15:45,9/6/19 15:46,9/6/19 15:47,9/6/19 15:47,9/6/19 15:49
I was considering the prize money that I would get if I won.,099b33d9ab7de4091e7d716489dbfa42,3,7,0,0,0,50,200,100,99,57,50,yes,NA,68,yes,NA,57,yes,NA,9/6/19 15:40,9/6/19 15:40,9/6/19 15:42,9/6/19 15:46,9/6/19 15:47,9/6/19 15:48,9/6/19 15:48,9/6/19 15:49
I was considering the prize money that I would get if I won. And I was considering the feeling of winning.,f8a4ee70422c1a5f63d160598fcca345,3,4,0,0,0,50,50,50,75,60,50,yes,NA,57,yes,NA,25,yes,NA,9/6/19 14:40,9/6/19 14:45,9/6/19 14:46,9/6/19 14:48,9/6/19 14:49,9/6/19 14:49,9/6/19 14:49,9/6/19 14:50
I was considering the prize money that I would get if I won.,7273a294a0f78443a0db39ff3b8b4326,3,4,0,0,0,50,100,100,50,50,50,yes,NA,1,yes,NA,11,yes,NA,9/6/19 14:47,9/6/19 14:47,9/6/19 14:47,9/6/19 14:49,9/6/19 14:49,9/6/19 14:49,9/6/19 14:50,9/6/19 14:50
I was considering the prize money that I would get if I won. And I was considering the feeling of winning.,60a7d4c7b38b9ff5acc165932ee59ce9,3,9,0,0,0,50,125,25,100,57,50,yes,NA,75,no,25,50,yes,NA,9/6/19 12:42,9/6/19 12:42,9/6/19 12:44,9/6/19 12:46,9/6/19 12:48,9/6/19 12:48,9/6/19 12:49,9/6/19 12:50
